No.	Name	Price	
189	jarst_gum8	100	와우
190	jarst_jarst_canned_food7	5000	옥수수콘
191	jarst_jarst_canned_food8	5000	치즈
192	jarst_jarst_canned_food9	5000	골뱅이
193	jarst_jarst_canned_food10	5000	황도
194	jarst_jarst_canned_food11	5000	황도
195	jarst_jarst_canned_food12	5000	골뱅이
196	jarst_jarst_canned_food13	5000	스팸
197	jarst_jar_of_jam	5000	피넛버터
198	jarst_jar_of_jam1	5000	베리잼
199	jarst_jar_of_jam2	5000	레몬잼
200	jarst_jar_of_jam3	5000	포도잼
201	jarst_jar_of_jam4	5000	딸기잼
202	jarst_jar_of_jam5	5000	누텔라
203	jarst_jar_of_jam6	5000	땅콩잼
204	jarst_jar_of_jam7	5000	버터잼
205	jarst_jar_of_jam8	5000	블루베리잼
206	jarst_jar_of_jam9	5000	토마토소스
207	jarst_jar_of_jam10	5000	까르보나라소스
208	jarst_ketchup	3000	오뚜기케_
209	jarst_lollipop	200	츄파_스
210	jarst_lollipop1	200	츄파_스
211	jarst_lollipop2	200	츄파_스
212	jarst_lollipop3	200	호올스
213	jarst_mustard	3000	오리온머스타드
214	jarst_nut_butter	3000	땅콩소스
215	jarst_pasta	8000	파스타면
216	jarst_pasta1	8000	스파게티면
217	jarst_pasta2	8000	나쵸
218	jarst_pasta3	8000	꼬북칩
219	jarst_pasta4	8000	포카칩
220	jarst_pasta5	8000	첵스초코
221	jarst_pasta6	8000	오레오즈
222	jarst_pasta7 1	8000	콘푸라이트
223	jarst_pizza	10000	고구마피자
224	jarst_pizza1	10000	페퍼로니피자
225	jarst_pizza2	10000	콤비네이션피자
226	jarst_prepackaged_meat	30000	꽃등심
227	jarst_prepackaged_meat1	30000	안심
228	jarst_prepackaged_meat2	30000	LA갈비
229	jarst_prepackaged_meat3	30000	토마호크
230	jarst_prepackaged_meat4	30000	프랑크소세지
231	jarst_prepackaged_meat5	30000	다진고기
232	jarst_semi-finished_products	30000	곱창전골
233	jarst_semi-finished_products1	30000	양념닭강정
234	jarst_semi-finished_products2	30000	오븐스파게티
235	jarst_soda	200	예감
236	jarst_sweets	500	칸쵸
237	jarst_sweets1	500	스키틀즈
238	jarst_sweets2	500	몰티져스
239	jarst_sweets3	500	스키틀즈
240	jarst_sweets4	500	감자깡
241	jarst_sweets5	500	썬칩
242	jarst_sweets6	500	오레오
243	jarst_sweets7	500	다크초콜릿
244	jarst_sweets8	500	밀카
245	jarst_sweets9	500	트윅스
246	jarst_sweets10	500	스니커즈
247	jarst_tea	3000	둥글레차
248	jarst_tea1	3000	녹차
249	jarst_toilet_paper	5000	크리넥스화장지
250	jarst_triangular_candy	2000	토블론초콜릿
251	jarst_yeast	2000	이스트
252	jarst_yeast1	2000	이스트
253	jarst_yogurt	4000	플레인요거트
254	jarst_yogurt1	4000	그릭요거트
255	jarst_yogurt2	4000	레몬요거트
256	jarst_yogurt3	4000	딸기요거트
257	jarst_yogurt4	4000	딸기요거트
258	jarst_yogurt5	4000	플레인요거트
259	jarst_yogurt6	4000	포도요거트
260	jarst_yogurt7	4000	포도요거트
261	jarst_yogurt8	4000	블루베리요거트
262	jarst_yogurt9	4000	레몬요거트
263	jarst_yogurt10	4000	그릭요거트
264	jarst_yogurt11	4000	그릭요거트
265	jarst_yogurt12	4000	플레인요거트
266	jarst_yogurt13	4000	플레인요거트
267	jarst_apple	500	사과
268	jarst_asparagus	700	아스파라거스
269	jarst_avacado	2000	아보카도
270	jarst_banana	3000	바나나
271	jarst_beets	1000	비트
272	jarst_cabbage.	1000	양배추
273	jarst_carrots	1000	당근
274	jarst_corn	1000	옥수수
275	jarst_cucumber	1000	오이
276	jarst_eggplant	1000	가지
277	jarst_garlic	1000	마늘
278	jarst_grapes	3000	포도
279	jarst_lemon	1000	레몬
280	jarst_melon	3000	메론
281	jarst_onion	1000	양파
282	jarst_orange	1000	오렌지
283	jarst_passion_fruit	3000	패션후르츠
284	jarst_pataya	3000	용과
285	jarst_pear	1000	배
286	jarst_pepper	1000	파프리카
287	jarst_pepper1	1000	파프리카
288	jarst_pineapple	3000	파인애플
289	jarst_pomegranate	1000	석류
290	jarst_pumpkin	3000	호박
291	jarst_radish	1000	무
292	jarst_salad	1000	양상추
293	jarst_tamat	1000	토마토
	jarst_watermelon	3000	수박
